explained	30
faded	30
fair	30
farm	30
gets	30
laid	30
seven	30
shouted	30
stared	30
startled	30
streets	30
study	30
talked	30
tears	30
tiny	30
tomorrow	30
tongue	30
tugged	30
twenty	30
wandered	30
wax	30
Eventually	29
Looking	29
age	29
become	29
burn	29
covered	29
ears	29
family	29
glanced	29
horses	29
living	29
lying	29
mentioned	29
proper	29
returned	29
settled	29
songs	29
upon	29
wait	29
wedding	29
windows	29
Anker's	28
Because	28
Carter	28
Graham	28
Kilvin's	28
Three	28
Very	28
Waystone	28
admit	28
answer	28
became	28
bottom	28
church	28
color	28
danced	28
foolish	28
forest	28
month	28
muttered	28
numb	28
often	28
rain	28
rock	28
sell	28
sign	28
stairs	28
terribly	28
worry	28
Perhaps	27
Their	27
anyway	27
brief	27
carry	27
certainly	27
dull	27
ear	27
fires	27
hall	27
lady	27
listen	27
listening	27
mostly	27
nervously	27
patron	27
sleeping	27
string	27
strong	27
tucked	27
wore	27
worst	27
Cealdish	26
Lord	26
approached	26
barely	26
binding	26
breathing	26
curiosity	26
die	26
draw	26
explain	26
eyebrows	26
fallen	26
greystone	26
irritated	26
level	26
mad	26
meet	26
pass	26
rose	26
scattered	26
shape	26
signs	26
sit	26
size	26
slept	26
slid	26
sounded	26
tables	26
Aloine	25
Ben's	25
From	25
Go	25
Old	25
On	25
Ruh	25
Taborlin	25
Thank	25
We're	25
amount	25
amused	25
bell	25
beneath	25
buildings	25
calm	25
coals	25
comes	25
considered	25
control	25
curious	25
desperate	25
dim	25
dirt	25
distance	25
edges	25
embarrassed	25
halfway	25
hidden	25
jumped	25
knocked	25
laughter	25
magic	25
maybe	25
mood	25
musicians	25
north	25
ones	25
page	25
price	25
proud	25
relief	25
seems	25
sharply	25
sides	25
sing	25
speaking	25
thumb	25
wanting	25
wondering	25
Amyr	24
Does	24
Have	24
ahead	24
bowl	24
cover	24
cracked	24
death	24
guessing	24
hungry	24
ignored	24
language	24
larger	24
missed	24
nature	24
obvious	24
peered	24
powerful	24
prentice	24
realize	24
recognized	24
roads	24
save	24
settle	24
smith's	24
snow	24
solid	24
somewhere	24
sounds	24
swallowed	24
weary	24
wet	24
whose	24
wrapped	24
Denna's	23
Let's	23
Mews	23
Savien	23
Since	23
anywhere	23
aware	23
badly	23
bag	23
bet	23
cleared	23
climbed	23
energy	23
fifteen	23
fifty	23
finding	23
further	23
grim	23
helped	23
locked	23
manner	23
mask	23
master's	23
mention	23
news	23
pants	23
pause	23
places	23
possible	23
puzzled	23
reading	23
ring	23
smiling	23
stayed	23
trust	23
twisted	23
winter	23
wish	23
An	22
Despite	22
Great	22
Listen	22
Lyra	22
Mauthen	22
None	22
Something	22
added	22
autumn	22
beyond	22
bones	22
carrying	22
chuckled	22
comfortable	22
crack	22
disappointed	22
drunk	22
excuse	22
grass	22
growing	22
hanging	22
heading	22
hint	22
lines	22
loose	22
paid	22
pit	22
plan	22
rare	22
riding	22
salt	22
spare	22
stunned	22
sympathetic	22
tapped	22
thank	22
tore	22
Another	21
Aturan	21
Four	21
Kvothe's	21
Right	21
Trip	21
You'd	21
You'll	21
admissions	21
afford	21
bent	21
boots	21
casually	21
center	21
change	21
cobblestones	21
coins	21
corners	21
cry	21
demanded	21
earlier	21
earth	21
eight	21
entire	21
farther	21
game	21
hate	21
imagine	21
letting	21
lightly	21
listened	21
looks	21
meal	21
meeting	21
merely	21
needs	21
particular	21
poor	21
poured	21
pulling	21
repeated	21
return	21
spend	21
storm	21
teach	21
thirty	21
thoughtful	21
tied	21
truly	21
using	21
wash	21
wife	21
woods	21
Ambrose's	20
Could	20
God's	20
She's	20
Siaru	20
apart	20
beer	20
bitter	20
bloody	20
cart	20
crazy	20
crossed	20
damn	20
darkness	20
drank	20
drawing	20
drawn	20
dressed	20
dug	20
eager	20
eating	20
eyebrow	20
figure	20
flames	20
fog	20
hit	20
information	20
lucky	20
mouthful	20
nervous	20
number	20
perfectly	20
problem	20
rocks	20
rubbed	20
rumors	20
sometimes	20
stool	20
stretched	20
stuck	20
subject	20
swung	20
taller	20
vaguely	20
we'd	20
whipped	20
wildly	20
wonderful	20
Mains	19
Shep	19
Was	19
accent	19
advice	19
animal	19
bear	19
bench	19
bite	19
bother	19
bound	19
briefly	19
chill	19
died	19
dream	19
easier	19
faces	19
fast	19
handle	19
hood	19
land	19
lecture	19
lesson	19
link	19
lowered	19
lunch	19
neither	19
o	19
opportunity	19
particularly	19
pull	19
ruined	19
scriv	19
searching	19
secrets	19
seeing	19
spring	19
swallow	19
terms	19
torn	19
traveling	19
usual	19
wealthy	19
willing	19
wound	19
writing	19
Fine	18
IN	18
Justice	18
Myr	18
Oi	18
These	18
Too	18
Waterside	18
alive	18
avoid	18
blow	18
breaking	18
bringing	18
brown	18
build	18
changed	18
choice	18
completely	18
count	18
destroyed	18
difficult	18
eyed	18
farmer	18
flower	18
forehead	18
hollow	18
honest	18
human	18
ignore	18
ink	18
job	18
kiss	18
lower	18
meat	18
mercenary's	18
mistake	18
mug	18
nod	18
noon	18
pockets	18
priest	18
recognize	18
remembering	18
rooftops	18
rooms	18
rope	18
roughly	18
rubbing	18
scale	18
shadows	18
shattered	18
she'd	18
sheet	18
shingle	18
sick	18
sideways	18
sold	18
supposed	18
surrounding	18
tip	18
vague	18
view	18
